SeasonType,Season,Week,Name,ShortName,StartDate,EndDate,ApiSeason,ApiWeek
1,2022,11,Week 11,Week 11,2022-11-16T00:00:00,2022-11-22T23:59:59,2022REG,11
1,2022,12,Week 12,Week 12,2022-11-23T00:00:00,2022-11-29T23:59:59,2022REG,12
1,2022,13,Week 13,Week 13,2022-11-30T00:00:00,2022-12-06T23:59:59,2022REG,13
1,2022,14,Week 14,Week 14,2022-12-07T00:00:00,2022-12-13T23:59:59,2022REG,14
1,2022,15,Week 15,Week 15,2022-12-14T00:00:00,2022-12-20T23:59:59,2022REG,15
1,2022,16,Week 16,Week 16,2022-12-21T00:00:00,2022-12-27T23:59:59,2022REG,16
1,2022,17,Week 17,Week 17,2022-12-28T00:00:00,2023-01-03T23:59:59,2022REG,17
1,2022,18,Week 18,Week 18,2023-01-04T00:00:00,2023-01-09T23:59:59,2022REG,18
3,2022,1,Wild Card Weekend,Wild Card,2023-01-10T00:00:00,2023-01-17T23:59:59,2022POST,1
3,2022,2,Divisional Playoffs,Divisional,2023-01-18T00:00:00,2023-01-23T23:59:59,2022POST,2
3,2022,3,Conference Championships,Conference,2023-01-24T00:00:00,2023-01-30T23:59:59,2022POST,3
5,2022,1,Pro Bowl,Pro Bowl,2023-01-31T00:00:00,2023-02-06T23:59:59,2022STAR,1
3,2022,4,Super Bowl,Super Bowl,2023-02-07T00:00:00,2023-02-14T23:59:59,2022POST,4
4,2022,,Scouting Combine,Combine,2023-02-15T00:00:00,2023-02-28T23:59:59,2022REG,
4,2023,,Free Agency,Free Agency,2023-03-01T00:00:00,2023-03-31T23:59:59,2023REG,
4,2023,,NFL Draft,NFL Draft,2023-04-01T00:00:00,2023-07-27T23:59:59,2023REG,
2,2023,0,Hall of Fame Weekend,HOF Weekend,2023-07-28T00:00:00,2023-08-04T23:59:59,2023PRE,0
2,2023,1,Preseason Week 1,Week 1,2023-08-05T00:00:00,2023-08-14T23:59:59,2023PRE,1
2,2023,2,Preseason Week 2,Week 2,2023-08-15T00:00:00,2023-08-22T23:59:59,2023PRE,2
2,2023,3,Preseason Week 3,Week 3,2023-08-23T00:00:00,2023-08-28T23:59:59,2023PRE,3
1,2023,1,Week 1,Week 1,2023-08-29T00:00:00,2023-09-12T23:59:59,2023REG,1
1,2023,2,Week 2,Week 2,2023-09-13T00:00:00,2023-09-19T23:59:59,2023REG,2
1,2023,3,Week 3,Week 3,2023-09-20T00:00:00,2023-09-26T23:59:59,2023REG,3
1,2023,4,Week 4,Week 4,2023-09-27T00:00:00,2023-10-03T23:59:59,2023REG,4
1,2023,5,Week 5,Week 5,2023-10-04T00:00:00,2023-10-10T23:59:59,2023REG,5
1,2023,6,Week 6,Week 6,2023-10-11T00:00:00,2023-10-17T23:59:59,2023REG,6
1,2023,7,Week 7,Week 7,2023-10-18T00:00:00,2023-10-24T23:59:59,2023REG,7
1,2023,8,Week 8,Week 8,2023-10-25T00:00:00,2023-10-31T23:59:59,2023REG,8
1,2023,9,Week 9,Week 9,2023-11-01T00:00:00,2023-11-07T23:59:59,2023REG,9
1,2023,10,Week 10,Week 10,2023-11-08T00:00:00,2023-11-14T23:59:59,2023REG,10
1,2023,11,Week 11,Week 11,2023-11-15T00:00:00,2023-11-21T23:59:59,2023REG,11
1,2023,12,Week 12,Week 12,2023-11-22T00:00:00,2023-11-28T23:59:59,2023REG,12
1,2023,13,Week 13,Week 13,2023-11-29T00:00:00,2023-12-05T23:59:59,2023REG,13
1,2023,14,Week 14,Week 14,2023-12-06T00:00:00,2023-12-12T23:59:59,2023REG,14
1,2023,15,Week 15,Week 15,2023-12-13T00:00:00,2023-12-19T23:59:59,2023REG,15
1,2023,16,Week 16,Week 16,2023-12-20T00:00:00,2023-12-26T23:59:59,2023REG,16
1,2023,17,Week 17,Week 17,2023-12-27T00:00:00,2024-01-01T23:59:59,2023REG,17
1,2023,18,Week 18,Week 18,2024-01-02T00:00:00,2024-01-08T23:59:59,2023REG,18
3,2023,1,Wild Card Weekend,Wild Card,2024-01-09T00:00:00,2024-01-16T23:59:59,2023POST,1
3,2023,2,Divisional Playoffs,Divisional,2024-01-17T00:00:00,2024-01-22T23:59:59,2023POST,2
3,2023,3,Conference Championships,Conference,2024-01-23T00:00:00,2024-01-29T23:59:59,2023POST,3
5,2023,1,Pro Bowl,Pro Bowl,2024-01-30T00:00:00,2024-02-05T23:59:59,2023STAR,1
3,2023,4,Super Bowl,Super Bowl,2024-02-06T00:00:00,2024-02-14T23:59:59,2023POST,4
4,2023,,Scouting Combine,Combine,2024-02-15T00:00:00,2024-02-29T23:59:59,2023REG,
4,2024,,Free Agency,Free Agency,2024-03-01T00:00:00,2024-03-31T23:59:59,2024REG,
4,2024,,NFL Draft,NFL Draft,2024-04-01T00:00:00,2024-07-27T23:59:59,2024REG,
2,2024,0,Hall of Fame Weekend,HOF Weekend,2024-07-28T00:00:00,2024-08-02T23:59:59,2024PRE,0
2,2024,1,Preseason Week 1,Week 1,2024-08-03T00:00:00,2024-08-12T23:59:59,2024PRE,1
2,2024,2,Preseason Week 2,Week 2,2024-08-13T00:00:00,2024-08-19T23:59:59,2024PRE,2
2,2024,3,Preseason Week 3,Week 3,2024-08-20T00:00:00,2024-08-26T23:59:59,2024PRE,3
1,2024,1,Week 1,Week 1,2024-08-27T00:00:00,2024-09-10T23:59:59,2024REG,1
1,2024,2,Week 2,Week 2,2024-09-11T00:00:00,2024-09-17T23:59:59,2024REG,2
1,2024,3,Week 3,Week 3,2024-09-18T00:00:00,2024-09-24T23:59:59,2024REG,3
1,2024,4,Week 4,Week 4,2024-09-25T00:00:00,2024-10-01T23:59:59,2024REG,4
1,2024,5,Week 5,Week 5,2024-10-02T00:00:00,2024-10-08T23:59:59,2024REG,5
1,2024,6,Week 6,Week 6,2024-10-09T00:00:00,2024-10-15T23:59:59,2024REG,6
1,2024,7,Week 7,Week 7,2024-10-16T00:00:00,2024-10-22T23:59:59,2024REG,7
1,2024,8,Week 8,Week 8,2024-10-23T00:00:00,2024-10-29T23:59:59,2024REG,8
1,2024,9,Week 9,Week 9,2024-10-30T00:00:00,2024-11-05T23:59:59,2024REG,9
1,2024,10,Week 10,Week 10,2024-11-06T00:00:00,2024-11-12T23:59:59,2024REG,10
1,2024,11,Week 11,Week 11,2024-11-13T00:00:00,2024-11-19T23:59:59,2024REG,11
1,2024,12,Week 12,Week 12,2024-11-20T00:00:00,2024-11-26T23:59:59,2024REG,12
1,2024,13,Week 13,Week 13,2024-11-27T00:00:00,2024-12-03T23:59:59,2024REG,13
1,2024,14,Week 14,Week 14,2024-12-04T00:00:00,2024-12-10T23:59:59,2024REG,14
1,2024,15,Week 15,Week 15,2024-12-11T00:00:00,2024-12-17T23:59:59,2024REG,15
1,2024,16,Week 16,Week 16,2024-12-18T00:00:00,2024-12-24T23:59:59,2024REG,16
1,2024,17,Week 17,Week 17,2024-12-25T00:00:00,2024-12-31T23:59:59,2024REG,17
1,2024,18,Week 18,Week 18,2025-01-01T00:00:00,2025-01-06T23:59:59,2024REG,18
3,2024,1,Wild Card Weekend,Wild Card,2025-01-07T00:00:00,2025-01-14T23:59:59,2024POST,1
3,2024,2,Divisional Playoffs,Divisional,2025-01-15T00:00:00,2025-01-20T23:59:59,2024POST,2
3,2024,3,Conference Championships,Conference,2025-01-21T00:00:00,2025-01-27T23:59:59,2024POST,3
5,2024,1,Pro Bowl,Pro Bowl,2025-01-28T00:00:00,2025-02-03T23:59:59,2024STAR,1
3,2024,4,Super Bowl,Super Bowl,2025-02-04T00:00:00,2025-02-14T23:59:59,2024POST,4
4,2024,,Scouting Combine,Combine,2025-02-15T00:00:00,2025-02-28T23:59:59,2024REG,
4,2025,,Free Agency,Free Agency,2025-03-01T00:00:00,2025-03-31T23:59:59,2025REG,
4,2025,,NFL Draft,NFL Draft,2025-04-01T00:00:00,2025-07-26T23:59:59,2025REG,
2,2025,0,Hall of Fame Weekend,HOF Weekend,2025-07-27T00:00:00,2025-08-01T23:59:59,2025PRE,0
2,2025,1,Preseason Week 1,Week 1,2025-08-02T00:00:00,2025-08-11T23:59:59,2025PRE,1
2,2025,2,Preseason Week 2,Week 2,2025-08-12T00:00:00,2025-08-19T23:59:59,2025PRE,2
2,2025,3,Preseason Week 3,Week 3,2025-08-20T00:00:00,2025-08-25T23:59:59,2025PRE,3
1,2025,1,Week 1,Week 1,2025-08-26T00:00:00,2025-09-09T23:59:59,2025REG,1
1,2025,2,Week 2,Week 2,2025-09-10T00:00:00,2025-09-16T23:59:59,2025REG,2
1,2025,3,Week 3,Week 3,2025-09-17T00:00:00,2025-09-23T23:59:59,2025REG,3
1,2025,4,Week 4,Week 4,2025-09-24T00:00:00,2025-09-30T23:59:59,2025REG,4
1,2025,5,Week 5,Week 5,2025-10-01T00:00:00,2025-10-07T23:59:59,2025REG,5
1,2025,6,Week 6,Week 6,2025-10-08T00:00:00,2025-10-14T23:59:59,2025REG,6
1,2025,7,Week 7,Week 7,2025-10-15T00:00:00,2025-10-21T23:59:59,2025REG,7
1,2025,8,Week 8,Week 8,2025-10-22T00:00:00,2025-10-28T23:59:59,2025REG,8
1,2025,9,Week 9,Week 9,2025-10-29T00:00:00,2025-11-04T23:59:59,2025REG,9
1,2025,10,Week 10,Week 10,2025-11-05T00:00:00,2025-11-11T23:59:59,2025REG,10
1,2025,11,Week 11,Week 11,2025-11-12T00:00:00,2025-11-18T23:59:59,2025REG,11
1,2025,12,Week 12,Week 12,2025-11-19T00:00:00,2025-11-25T23:59:59,2025REG,12
1,2025,13,Week 13,Week 13,2025-11-26T00:00:00,2025-12-02T23:59:59,2025REG,13
1,2025,14,Week 14,Week 14,2025-12-03T00:00:00,2025-12-09T23:59:59,2025REG,14
1,2025,15,Week 15,Week 15,2025-12-10T00:00:00,2025-12-16T23:59:59,2025REG,15
1,2025,16,Week 16,Week 16,2025-12-17T00:00:00,2025-12-23T23:59:59,2025REG,16
1,2025,17,Week 17,Week 17,2025-12-24T00:00:00,2025-12-30T23:59:59,2025REG,17
1,2025,18,Week 18,Week 18,2025-12-31T00:00:00,2026-01-05T23:59:59,2025REG,18
3,2025,1,Wild Card Weekend,Wild Card,2026-01-06T00:00:00,2026-01-13T23:59:59,2025POST,1
3,2025,2,Divisional Playoffs,Divisional,2026-01-14T00:00:00,2026-01-19T23:59:59,2025POST,2
3,2025,3,Conference Championships,Conference,2026-01-20T00:00:00,2026-01-26T23:59:59,2025POST,3
5,2025,1,Pro Bowl,Pro Bowl,2026-01-27T00:00:00,2026-02-02T23:59:59,2025STAR,1
3,2025,4,Super Bowl,Super Bowl,2026-02-03T00:00:00,2026-02-14T23:59:59,2025POST,4
4,2025,,Scouting Combine,Combine,2026-02-15T00:00:00,2026-05-15T00:00:00,2025REG,
